Congress,Name,State
Senate,Tommy Tuberville, Alabama
Senate,Roger Marshall, Kansas
Senate,John Kennedy,Louisiana
Senate,Cindy Hyde-Smith,Mississippi
Senate,Josh Hawley,Missouri
Senate,Ted Cruz,Texas
House,Robert B. Aderholt,Alabama
House,Mo Brooks,Alabama
House,Jerry Carl,Alabama
House,Barry Moore,Alabama
House,Gary Palmer,Alabama
House,Mike Rogers,Alabama
House,Andy Biggs,Arizona
House,Paul Gosar,Arizona
House,Debbie Lesko,Arizona
House,Rick Crawford,Arkansas
House,Ken Calvert,California
House,Mike Garcia,California
House,Darrell Issa,California
House,Doug LaMalfa,California
House,Kevin McCarthy,California
House,Devin Nunes,California
House,Jay Obernolte,California
House,Lauren Boebert,Colorado
House,Doug Lamborn,Colorado
House,Kat Cammack,Florida
House,Mario Diaz-Balart,Florida
House,Byron Donalds,Florida
House,Neal Dunn,Florida
House,Scott Franklin,Florida
House,Matt Gaetz,Florida
House,Carlos Gimenez,Florida
House,Brian Mast,Florida
House,Bill Posey,Florida
House,John Rutherford,Florida
House,Greg Steube,Florida
House,Daniel Webster,Florida
House,Rick Allen,Georgia
House,"Earl L. ""Buddy"" Carter",Georgia
House,Andrew Clyde,Georgia
House,Marjorie Taylor Greene,Georgia
House,Jody Hice,Georgia
House,Barry Loudermilk,Georgia
House,Russ Fulcher,Idaho
House,Mike Bost,Illinois
House,Mary Miller,Illinois
House,Jim Baird,Indiana
House,Jim Banks,Indiana
House,Jackie Walorski,Indiana
House,Ron Estes,Kansas
House,Jacob LaTurner,Kansas
House,Tracey Mann,Kansas
House,Harold Rogers,Kentucky
House,Clay Higgins,Louisiana
House,Mike Johnson,Louisiana
House,Steve Scalise,Louisiana
House,Andy Harris,Maryland
House,Jack Bergman,Michigan
House,Lisa McClain,Michigan
House,Tim Walberg,Michigan
House,Michelle Fischbach,Minnisota
House,Jim Hagedorn,Minnisota
House,Michael Guest,Mississippi
House,Trent Kelly,Mississippi
House,Steven Palazzo,Mississippi
House,Sam Graves,Missouri
House,Vicky Hartzler,Missouri
House,Billy Long,Missouri
House,Blaine Luetkemeyer,Missouri
House,Jason Smith,Missouri
House,Matt Rosendale,Montana
House,Dan Bishop,North Carolina
House,Ted Budd,North Carolina
House,Madison Cawthorn,North Carolina
House,Richard Hudson,North Carolina
House,David Rouzer,North Carolina
House,Jeff Van Drew,New Jersey
House,Yvette Herrell,New Mexico
House,Chris Jacobs,New York
House,Nicole Malliotakis,New York
House,Lee Zeldin,New York
House,Adrian Smith,Nebraska
House,Warren Davidson,Ohio
House,Bob Gibbs,Ohio
House,Bill Johnson,Ohio
House,Jim Jordan,Ohio
House,Stephanie Bice,Oklahoma
House,Tom Cole,Oklahoma
House,Kevin Hern,Oklahoma
House,Frank Lucas,Oklahoma
House,Markwayne Mullin,Oklahoma
House,John Joyce,Pennsylvania
House,Mike Kelly,Pennsylvania
House,Scott Perry,Pennsylvania
House,Guy Reschenthaler,Pennsylvania
House,Jeff Duncan,South California
House,Ralph Norman,South California
House,Tom Rice,South California
House,William Timmons,South California
House,Joe Wilson,South California
House,Tim Burchett,Tennessee
House,Scott DesJarlais,Tennessee
House,Chuck Fleischmann,Tennessee
House,Mark E. Green,Tennessee
House,Diana Harshbarger,Tennessee
House,John Rose,Tennessee
House,Jodey Arrington,Texas
House,Brian Babin,Texas
House,Michael C. Burgess,Texas
House,John R. Carter,Texas
House,Michael Cloud,Texas
House,Pat Fallon,Texas
House,Louie Gohmert,Texas
House,Lance Gooden,Texas
House,Ronny Jackson,Texas
House,Troy Nehls,Texas
House,August Pfluger,Texas
House,Pete Sessions,Texas
House,Randy Weber,Texas
House,Roger Williams,Texas
House,Ron Wright,Texas
House,Ben Cline,Virginia
House,Bob Good,Virginia
House,Morgan Griffith,Virginia
House,Carol Miller,West Virginia
House,Scott Fitzgerald,Wisconsin
House,Tom Tiffany,Wisconsin
