Branch	Name	State
Representatives	Robert B. Aderholt	Alabama
Representatives	Mo Brooks	Alabama
Representatives	Jerry Carl	Alabama
Representatives	Barry Moore	Alabama
Representatives	Gary Palmer	Alabama
Representatives	Mike Rogers	Alabama
Representatives	Andy Biggs	Arizona
Representatives	Paul Gosar	Arizona
Representatives	Debbie Lesko	Arizona
Representatives	David Schweikert	Arizona
Representatives	Rick Crawford	Arkansas
Representatives	Ken Calvert	California
Representatives	Mike Garcia	California
Representatives	Darrell Issa	California
Representatives	Doug LaMalfa	California
Representatives	Kevin McCarthy	California
Representatives	Devin Nunes	California
Representatives	Jay Obernolte	California
Representatives	Lauren Boebert	Colorado
Representatives	Doug Lamborn	Colorado
Representatives	Kat Cammack	Florida
Representatives	Mario Diaz-Balart	Florida
Representatives	Byron Donalds	Florida
Representatives	Neal Dunn	Florida
Representatives	Scott Franklin	Florida
Representatives	Matt Gaetz	Florida
Representatives	Carlos Gimenez	Florida
Representatives	Brian Mast	Florida
Representatives	Bill Posey	Florida
Representatives	John Rutherford	Florida
Representatives	Greg Steube	Florida
Representatives	Daniel Webster	Florida
Representatives	Rick Allen	Georgia
Representatives	"Earl L. ""Buddy"" Carter"	Georgia
Representatives	Andrew Clyde	Georgia
Representatives	Marjorie Taylor Greene	Georgia
Representatives	Jody Hice	Georgia
Representatives	Barry Loudermilk	Georgia
Representatives	Russ Fulcher	Idaho
Representatives	Mike Bost	Illinois
Representatives	Mary Miller	Illinois
Representatives	Jim Baird	Indiana
Representatives	Jim Banks	Indiana
Representatives	Greg Pence	Indiana
Representatives	Jackie Walorski	Indiana
Representatives	Ron Estes	Kansas
Representatives	Jacob LaTurner	Kansas
Representatives	Tracey Mann	Kansas
Representatives	Harold Rogers	Kentucky
Representatives	Garret Graves	Louisiana
Representatives	Clay Higgins	Louisiana
Representatives	Mike Johnson	Louisiana
Representatives	Steve Scalise	Louisiana
Representatives	Andy Harris	Maryland
Representatives	Jack Bergman	Michigan
Representatives	Lisa McClain	Michigan
Representatives	Tim Walberg	Michigan
Representatives	Michelle Fischbach	Minnesota
Representatives	Jim Hagedorn	Minnesota
Representatives	Michael Guest	Mississippi
Representatives	Trent Kelly	Mississippi
Representatives	Steven Palazzo	Mississippi
Representatives	Sam Graves	Missouri
Representatives	Vicky Hartzler	Missouri
Representatives	Billy Long	Missouri
Representatives	Blaine Luetkemeyer	Missouri
Representatives	Jason Smith	Missouri
Representatives	Matt Rosendale	Montana
Representatives	Dan Bishop	North_Carolina
Representatives	Ted Budd	North_Carolina
Representatives	Madison Cawthorn	North_Carolina
Representatives	Virginia Foxx	North_Carolina
Representatives	Richard Hudson	North_Carolina
Representatives	Gregory F. Murphy	North_Carolina
Representatives	David Rouzer	North_Carolina
Representatives	Jeff Van Drew	New_Jersey
Representatives	Yvette Herrell	New_Mexico
Representatives	Chris Jacobs	New_York
Representatives	Nicole Malliotakis	New_York
Representatives	Elise M. Stefanik	New_York
Representatives	Lee Zeldin	New_York
Representatives	Adrian Smith	Nebraska
Representatives	Steve Chabot	Ohio
Representatives	Warren Davidson	Ohio
Representatives	Bob Gibbs	Ohio
Representatives	Bill Johnson	Ohio
Representatives	Jim Jordan	Ohio
Representatives	Stephanie Bice	Oklahoma
Representatives	Tom Cole	Oklahoma
Representatives	Kevin Hern	Oklahoma
Representatives	Frank Lucas	Oklahoma
Representatives	Markwayne Mullin	Oklahoma
Representatives	Cliff Bentz	Oregon
Representatives	John Joyce	Pennsylvania
Representatives	Fred Keller	Pennsylvania
Representatives	Mike Kelly	Pennsylvania
Representatives	Daniel Meuser	Pennsylvania
Representatives	Scott Perry	Pennsylvania
Representatives	Guy Reschenthaler	Pennsylvania
Representatives	Lloyd Smucker	Pennsylvania
Representatives	Glenn Thompson	Pennsylvania
Representatives	Jeff Duncan	South_Carolina
Representatives	Ralph Norman	South_Carolina
Representatives	Tom Rice	South_Carolina
Representatives	William Timmons	South_Carolina
Representatives	Joe Wilson	South_Carolina
Representatives	Tim Burchett	Tennessee
Representatives	Scott DesJarlais	Tennessee
Representatives	Chuck Fleischmann	Tennessee
Representatives	Mark E. Green	Tennessee
Representatives	Diana Harshbarger	Tennessee
Representatives	David Kustoff	Tennessee
Representatives	John Rose	Tennessee
Representatives	Jodey Arrington	Texas
Representatives	Brian Babin	Texas
Representatives	Michael C. Burgess	Texas
Representatives	John R. Carter	Texas
Representatives	Michael Cloud	Texas
Representatives	Pat Fallon	Texas
Representatives	Louie Gohmert	Texas
Representatives	Lance Gooden	Texas
Representatives	Ronny Jackson	Texas
Representatives	Troy Nehls	Texas
Representatives	August Pfluger	Texas
Representatives	Pete Sessions	Texas
Representatives	Beth Van Duyne	Texas
Representatives	Randy Weber	Texas
Representatives	Roger Williams	Texas
Representatives	Ron Wright	Texas
Representatives	Burgess Owens	Utah
Representatives	Chris Stewart	Utah
Representatives	Ben Cline	Virginia
Representatives	Bob Good	Virginia
Representatives	Morgan Griffith	Virginia
Representatives	Robert J. Wittman	Virginia
Representatives	Carol Miller	West_Virginia
Representatives	Alexander X. Mooney	West_Virginia
Representatives	Scott Fitzgerald	Wisconsin
Representatives	Tom Tiffany	Wisconsin
Congress	Tommy Tuberville	Alabama
Congress	Rick Scott	Florida
Congress	Roger Marshall	Kansas
Congress	John Kennedy	Louisiana
Congress	Cindy Hyde-Smith	Mississippi
Congress	Josh Hawley	Missouri
Congress	Ted Cruz	Texas
Congress	Cynthia Lummis	Wyoming
